JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalObservations
84,LOS FLORES,2007,4099.966,1
87,ELM,2005,271.6541,1
89,INDIAN 2,2005,188.7452,1
93,VERBENIA,2004,3831.371,2
289,SAWTOOTH COMPLEX,2006,61767.18,1
291,PINES,2002,61691.24,14
299,PARADISE,2005,3081.726,23
311,DOS PALMAS,2008,456.4143,1
319,TECOPA,2010,105.7345,17
324,NARROWS,2010,49.86191,3
340,RANGE,2011,241.0146,1
343,EAGLE,2011,13992.99,11
358,BANNER FIRE,2012,5320.116,2
360,MOUNTAIN,2013,27523.67,3
361,RIVER,2013,406.8415,1
380,MOFFAT,2018,1253.925,3
385,HAUGHTELIN,2010,2319.5,1
387,Topock,2016,2228.4,1
389,Alamo,2016,136.4,1
397,Draper,2017,754.3,3
410,Whitewater,2012,136.8991,1
414,Matz,2017,14.05731,1
423,Tecopa,2017,26.99327,1
427,Tecopa,2010,105.7341,17
432,View,2012,376.1476,1
443,Pilot,2016,8110.823,1
446,Windy Point,2011,541.494,1
450,Mountain,2013,27301.37,3
451,Blue Cut,2016,36266.55,4
456,Stewart,2012,10630.18,18
457,Powerhouse,2013,30267.57,6
636,Blaisdell,2005,5491.788,2
637,Coyote,2003,18704.78,1
639,Blue Cut,2002,6821.039,2
643,Old,2003,91428,6
649,Louisiana,2002,6564.211,2
661,Pilot,2016,8110.855,1
663,Mountain,2013,27523.67,3
667,Powerhouse,2013,30267.69,6
668,Tram,2013,59.22004,1
669,Blue Cut,2016,36266.7,4
671,Topock,2016,0,1
707,Wildhorse,2005,63771.3,31
837,Blair,2006,66.48067,1
842,SODA,2005,449.4977,1
885,DOS AMIGOS,2005,746.0347,1
891,SAN LUIS,2005,332.2597,2
1020,HWY166,2004,65.16033,2
1075,NEW IDRIA,2003,632.0136,2
1093,BASALT,2004,410.184,22
1099,BROWN,2008,3786.915,3
1102,ROMERO,2008,766.0438,5
1103,COTTONWOOD,2008,796.5697,1
1105,AVENAL,2008,945.3325,11
1110,PARKWAY,2009,689.9021,1
1132,REED,2011,5899.568,1
1135,ROMERO,2011,451.0401,1
1138,SODA,2011,1533.496,1
1139,TURKEY,2012,2530.048,3
1167,MCCABE,2015,1728.974,3
1193,HUDSON,2017,1182.301,1
1218,GARZA,2017,48886.66,2
1263,Soda,2016,2000.281,4
1264,Wash,2010,947.4305,1
1278,Hudson,2017,1182.297,1
1281,Cotton,2010,2037.958,1
1285,School,2014,223.7788,4
1286,Turkey,2012,2530.038,3
1292,Garza,2017,48886.47,2
1309,Sandy,2016,0,1
1310,School,2014,223.9,4
1312,Lake,2020,30999.28856,1
1313,Dome,2020,44211.08459,125
1314,Bobcat,2020,115997.5701,9
1315,Mineral,2020,29666.84215,1
1316,Del Puerto,2020,390647.2556,15
